route,travel_seconds,unloading_seconds,total_time_seconds,total_time_minutes,base_minutes_billed,overtime_minutes_billed,base_cost,overtime_cost,total_cost
Centre Port->Woolworths Upper Hutt->Woolworths Wainuiomata->Centre Port,6119.46,6300.0,12419.46,206.99099999999999,180.0,26.990999999999985,600.0,123.70874999999992,723.7087499999999
Centre Port->Woolworths Upper Hutt->FreshChoice Woburn->Centre Port,4905.5599999999995,4500.0,9405.56,156.75933333333333,156.75933333333333,0.0,522.5311111111112,0.0,522.5311111111112
Centre Port->Woolworths Upper Hutt->Woolworths Petone->Centre Port,4679.68,5400.0,10079.68,167.99466666666666,167.99466666666666,0.0,559.9822222222223,0.0,559.9822222222223
Centre Port->Woolworths Upper Hutt->FreshChoice Cuba Street->Centre Port,4848.11,4500.0,9348.11,155.80183333333335,155.80183333333335,0.0,519.3394444444446,0.0,519.3394444444446
Centre Port->Woolworths Upper Hutt->Woolworths Karori->Centre Port,5851.0,5400.0,11251.0,187.51666666666668,180.0,7.51666666666668,600.0,34.45138888888895,634.4513888888889
Centre Port->Woolworths Upper Hutt->Woolworths Porirua->Centre Port,6114.29,6300.0,12414.29,206.90483333333336,180.0,26.904833333333357,600.0,123.31381944444455,723.3138194444446
Centre Port->Woolworths Upper Hutt->Woolworths Aotea->Centre Port,5732.500000000001,5400.0,11132.5,185.54166666666666,180.0,5.541666666666657,600.0,25.39930555555551,625.3993055555555
Centre Port->Woolworths Upper Hutt->Woolworths Johnsonville Mall->Centre Port,5166.400000000001,5400.0,10566.400000000001,176.10666666666668,176.10666666666668,0.0,587.0222222222224,0.0,587.0222222222224
Centre Port->Woolworths Upper Hutt->Woolworths Newtown->Centre Port,5299.01,5400.0,10699.01,178.31683333333334,178.31683333333334,0.0,594.3894444444445,0.0,594.3894444444445
Centre Port->Woolworths Upper Hutt->Metro Cable Car Lane->Centre Port,4851.599999999999,4500.0,9351.599999999999,155.85999999999999,155.85999999999999,0.0,519.5333333333333,0.0,519.5333333333333
Centre Port->Woolworths Upper Hutt->Woolworths Lower Hutt->Centre Port,4674.76,5400.0,10074.76,167.91266666666667,167.91266666666667,0.0,559.708888888889,0.0,559.708888888889
Centre Port->Woolworths Upper Hutt->Woolworths Queensgate->Centre Port,4874.63,5400.0,10274.630000000001,171.24383333333336,171.24383333333336,0.0,570.8127777777779,0.0,570.8127777777779
Centre Port->Woolworths Upper Hutt->Woolworths Tawa->Centre Port,5283.09,4500.0,9783.09,163.0515,163.0515,0.0,543.505,0.0,543.505
Centre Port->Woolworths Upper Hutt->Woolworths Crofton Downs->Centre Port,5517.630000000001,6300.0,11817.630000000001,196.96050000000002,180.0,16.960500000000025,600.0,77.73562500000011,677.7356250000001
Centre Port->Woolworths Upper Hutt->Woolworths Johnsonville->Centre Port,5105.29,6300.0,11405.29,190.0881666666667,180.0,10.088166666666694,600.0,46.23743055555568,646.2374305555556
Centre Port->Woolworths Upper Hutt->Woolworths Maidstone->Centre Port,4519.3099999999995,6300.0,10819.31,180.32183333333333,180.0,0.32183333333333053,600.0,1.4750694444444314,601.4750694444444
Centre Port->Woolworths Upper Hutt->FreshChoice Cannons Creek->Centre Port,5750.8099999999995,5400.0,11150.81,185.84683333333334,180.0,5.846833333333336,600.0,26.797986111111122,626.7979861111111
Centre Port->Woolworths Johnsonville Mall->Woolworths Kilbirnie->Centre Port,2814.54,5400.0,8214.54,136.90900000000002,136.90900000000002,0.0,456.3633333333334,0.0,456.3633333333334
Centre Port->Woolworths Johnsonville Mall->Woolworths Wainuiomata->Centre Port,4230.28,6300.0,10530.279999999999,175.50466666666665,175.50466666666665,0.0,585.0155555555556,0.0,585.0155555555556
Centre Port->Woolworths Johnsonville Mall->FreshChoice Woburn->Centre Port,3016.3799999999997,4500.0,7516.379999999999,125.27299999999998,125.27299999999998,0.0,417.5766666666666,0.0,417.5766666666666
Centre Port->Woolworths Johnsonville Mall->Woolworths Petone->Centre Port,2266.84,5400.0,7666.84,127.78066666666668,127.78066666666668,0.0,425.9355555555556,0.0,425.9355555555556
Centre Port->Woolworths Johnsonville Mall->FreshChoice Cuba Street->Centre Port,1809.27,4500.0,6309.27,105.15450000000001,105.15450000000001,0.0,350.51500000000004,0.0,350.51500000000004
Centre Port->Woolworths Johnsonville Mall->Woolworths Karori->Centre Port,2812.17,5400.0,8212.17,136.8695,136.8695,0.0,456.2316666666666,0.0,456.2316666666666
Centre Port->Woolworths Johnsonville Mall->Woolworths Porirua->Centre Port,3174.46,6300.0,9474.46,157.90766666666664,157.90766666666664,0.0,526.3588888888888,0.0,526.3588888888888
Centre Port->Woolworths Johnsonville Mall->Woolworths Aotea->Centre Port,3243.75,5400.0,8643.75,144.0625,144.0625,0.0,480.20833333333337,0.0,480.20833333333337
Centre Port->Woolworths Johnsonville Mall->Woolworths Upper Hutt->Centre Port,5145.46,5400.0,10545.46,175.75766666666667,175.75766666666667,0.0,585.8588888888889,0.0,585.8588888888889
Centre Port->Woolworths Johnsonville Mall->Woolworths Newtown->Centre Port,2260.18,5400.0,7660.18,127.66966666666667,127.66966666666667,0.0,425.5655555555556,0.0,425.5655555555556
Centre Port->Woolworths Johnsonville Mall->Metro Cable Car Lane->Centre Port,1812.77,4500.0,6312.77,105.21283333333334,105.21283333333334,0.0,350.70944444444444,0.0,350.70944444444444
Centre Port->Woolworths Johnsonville Mall->Woolworths Lower Hutt->Centre Port,2785.58,5400.0,8185.58,136.42633333333333,136.42633333333333,0.0,454.75444444444446,0.0,454.75444444444446
Centre Port->Woolworths Johnsonville Mall->Woolworths Queensgate->Centre Port,2985.45,5400.0,8385.45,139.75750000000002,139.75750000000002,0.0,465.8583333333334,0.0,465.8583333333334
Centre Port->Woolworths Johnsonville Mall->Woolworths Tawa->Centre Port,2651.06,4500.0,7151.0599999999995,119.18433333333333,119.18433333333333,0.0,397.2811111111111,0.0,397.2811111111111
Centre Port->Woolworths Johnsonville Mall->Woolworths Crofton Downs->Centre Port,2003.3600000000001,6300.0,8303.36,138.38933333333335,138.38933333333335,0.0,461.29777777777787,0.0,461.29777777777787
