route,total_cost
Centre Port->Woolworths Crofton Downs->Woolworths Johnsonville Mall->Centre Port,464.99666666666667
Centre Port->Woolworths Crofton Downs->Woolworths Newtown->Centre Port,471.11722222222227
Centre Port->Woolworths Crofton Downs->Metro Cable Car Lane->Centre Port,396.2611111111111
Centre Port->Woolworths Crofton Downs->Woolworths Lower Hutt->Centre Port,529.9961111111112
Centre Port->Woolworths Crofton Downs->Woolworths Queensgate->Centre Port,541.1
Centre Port->Woolworths Crofton Downs->Woolworths Tawa->Centre Port,482.24166666666673
Centre Port->Woolworths Crofton Downs->Woolworths Johnsonville->Centre Port,516.8327777777778
Centre Port->Woolworths Crofton Downs->Woolworths Maidstone->Centre Port,753.07875
Centre Port->Woolworths Crofton Downs->FreshChoice Cannons Creek->Centre Port,564.9988888888889
Centre Port->Woolworths Johnsonville->Woolworths Kilbirnie->Centre Port,502.96888888888884
Centre Port->Woolworths Johnsonville->Woolworths Wainuiomata->Centre Port,643.4790277777778
Centre Port->Woolworths Johnsonville->FreshChoice Woburn->Centre Port,464.1822222222222
Centre Port->Woolworths Johnsonville->Woolworths Petone->Centre Port,472.5411111111111
Centre Port->Woolworths Johnsonville->FreshChoice Cuba Street->Centre Port,397.1205555555556
Centre Port->Woolworths Johnsonville->Woolworths Karori->Centre Port,502.8366666666667
Centre Port->Woolworths Johnsonville->Woolworths Porirua->Centre Port,578.8522222222223
Centre Port->Woolworths Johnsonville->Woolworths Aotea->Centre Port,532.7016666666667
Centre Port->Woolworths Johnsonville->Woolworths Upper Hutt->Centre Port,644.6386111111112
Centre Port->Woolworths Johnsonville->Woolworths Johnsonville Mall->Centre Port,434.3394444444445
Centre Port->Woolworths Johnsonville->Woolworths Newtown->Centre Port,472.1711111111111
Centre Port->Woolworths Johnsonville->Metro Cable Car Lane->Centre Port,397.31444444444446
Centre Port->Woolworths Johnsonville->Woolworths Lower Hutt->Centre Port,501.3594444444444
Centre Port->Woolworths Johnsonville->Woolworths Queensgate->Centre Port,512.4633333333334
Centre Port->Woolworths Johnsonville->Woolworths Tawa->Centre Port,449.77444444444444
Centre Port->Woolworths Johnsonville->Woolworths Crofton Downs->Centre Port,513.1338888888889
Centre Port->Woolworths Johnsonville->Woolworths Maidstone->Centre Port,713.7040972222222
Centre Port->Woolworths Johnsonville->FreshChoice Cannons Creek->Centre Port,532.5316666666668
Centre Port->Woolworths Maidstone->Woolworths Kilbirnie->Centre Port,703.6986805555556
Centre Port->Woolworths Maidstone->Woolworths Wainuiomata->Centre Port,792.7749999999999
Centre Port->Woolworths Maidstone->FreshChoice Woburn->Centre Port,572.7605555555556
Centre Port->Woolworths Maidstone->Woolworths Petone->Centre Port,614.0410416666668
Centre Port->Woolworths Maidstone->FreshChoice Cuba Street->Centre Port,569.5688888888889
